quality_id,farm_id,product_id,check_date,location,status,remarks
51,81,1688,2022-07-05,81.0,Passed,Some spoilage detected
52,1934,1908,2020-10-02,1934.0,Conditional Pass,Excellent quality
53,1881,299,2022-02-25,1881.0,Conditional Pass,Below acceptable threshold
54,1882,796,2022-12-13,1882.0,Passed,Freshness level acceptable
55,826,874,2024-09-20,826.0,Failed,Meets organic certification standards
56,1197,349,2024-12-21,1197.0,Rejected,Product quality meets standards
57,568,327,2020-08-19,568.0,Conditional Pass,Packaging integrity maintained
58,114,1429,2021-05-02,114.0,Conditional Pass,Size and weight within specifications
59,1204,229,2022-10-30,1204.0,Pending Review,Requires further inspection
60,1096,1139,2020-01-06,1096.0,Rejected,Temperature control maintained
61,1709,998,2024-03-19,1709.0,Rejected,Temperature control maintained
62,884,1063,2020-01-04,884.0,Rejected,Packaging integrity maintained
63,329,357,2021-05-26,329.0,Pending Review,Premium grade quality
64,577,1714,2024-08-10,577.0,Rejected,Product quality meets standards
65,1594,734,2023-11-01,1594.0,Passed,Color and appearance good
66,525,444,2020-09-01,525.0,Pending Review,Some spoilage detected
67,629,267,2020-09-25,629.0,Failed,Requires further inspection
68,352,1443,2020-09-25,352.0,Passed,Color and appearance good
69,421,747,2020-11-25,421.0,Failed,Product quality meets standards
70,1921,978,2023-11-29,1921.0,Rejected,Meets organic certification standards
71,655,337,2021-11-09,655.0,Failed,Packaging integrity maintained
72,816,1745,2024-11-09,816.0,Pending Review,Premium grade quality
73,195,1763,2022-11-04,195.0,Rejected,Premium grade quality
74,906,501,2023-12-22,906.0,Failed,Premium grade quality
75,1215,128,2022-05-21,1215.0,Failed,Size and weight within specifications
76,221,386,2021-04-26,221.0,Pending Review,Freshness level acceptable
77,1065,1918,2022-05-17,1065.0,Rejected,Meets organic certification standards
78,665,1414,2023-03-06,665.0,Failed,Product quality meets standards
79,352,374,2024-09-29,352.0,Passed,Temperature control maintained
80,1264,1286,2023-12-10,1264.0,Conditional Pass,Below acceptable threshold
81,549,541,2022-06-26,549.0,Conditional Pass,Excellent quality
82,1943,1464,2024-06-17,1943.0,Pending Review,Standard grade quality
83,883,1760,2022-08-10,883.0,Rejected,Requires further inspection
84,1043,86,2022-08-14,1043.0,Rejected,Color and appearance good
85,1443,1225,2023-02-12,1443.0,Failed,Premium grade quality
86,1929,705,2023-09-23,1929.0,Passed,Packaging integrity maintained
87,344,976,2023-05-26,344.0,Failed,Minor defects detected
88,1241,1453,2021-08-02,1241.0,Failed,Below acceptable threshold
89,1317,1883,2020-04-28,1317.0,Conditional Pass,Minor defects detected
90,1314,988,2024-06-15,1314.0,Pending Review,Standard grade quality
91,547,958,2020-06-22,547.0,Pending Review,Minor defects detected
92,1432,546,2023-10-10,1432.0,Failed,Freshness level acceptable
93,989,1982,2024-11-19,989.0,Conditional Pass,Color and appearance good
94,1996,118,2023-12-30,1996.0,Conditional Pass,Standard grade quality
95,1613,328,2022-02-19,1613.0,Passed,Excellent quality
96,1753,1833,2024-07-04,1753.0,Rejected,Meets organic certification standards
97,154,1107,2024-01-27,154.0,Failed,Packaging integrity maintained
98,1856,1517,2021-06-29,1856.0,Pending Review,Some spoilage detected
99,288,70,2022-03-19,288.0,Rejected,Product quality meets standards
100,941,1987,2022-10-17,941.0,Pending Review,Freshness level acceptable
101,81,1547,2024-01-14,81.0,Rejected,Temperature control maintained
102,1187,669,2024-07-18,1187.0,Conditional Pass,Freshness level acceptable
103,1521,1403,2022-11-15,1521.0,Pending Review,Product quality meets standards
104,1201,638,2021-11-25,1201.0,Failed,Requires further inspection
105,321,245,2021-12-10,321.0,Rejected,Excellent quality
106,1315,1212,2020-05-21,1315.0,Pending Review,Excellent quality
107,136,1274,2024-01-18,136.0,Pending Review,Color and appearance good
108,708,317,2022-07-12,708.0,Pending Review,Texture and firmness acceptable
109,33,721,2021-09-13,33.0,Rejected,Meets organic certification standards
110,1787,610,2023-10-13,1787.0,Rejected,Product quality meets standards
111,1360,1701,2023-06-13,1360.0,Pending Review,Requires further inspection
112,1752,114,2022-04-22,1752.0,Conditional Pass,Below acceptable threshold
113,484,534,2024-04-25,484.0,Conditional Pass,Below acceptable threshold
114,1387,551,2024-10-13,1387.0,Pending Review,Texture and firmness acceptable
115,923,1183,2022-06-05,923.0,Conditional Pass,Color and appearance good
116,230,21,2020-03-25,230.0,Rejected,Temperature control maintained
117,294,994,2021-12-28,294.0,Passed,Minor defects detected
118,249,253,2021-03-19,249.0,Failed,Temperature control maintained
119,1497,1461,2022-08-31,1497.0,Rejected,Packaging integrity maintained
120,692,447,2022-07-17,692.0,Failed,Meets organic certification standards
121,532,1271,2024-02-15,532.0,Pending Review,Temperature control maintained
122,1708,936,2023-09-21,1708.0,Rejected,Minor defects detected
123,1932,650,2022-10-11,1932.0,Pending Review,Texture and firmness acceptable
124,1995,342,2021-08-24,1995.0,Failed,Size and weight within specifications
125,837,235,2021-06-05,837.0,Conditional Pass,Below acceptable threshold
126,1842,450,2023-03-15,1842.0,Conditional Pass,Texture and firmness acceptable
127,976,1780,2024-11-10,976.0,Conditional Pass,Minor defects detected
128,124,505,2021-09-12,124.0,Rejected,Below acceptable threshold
129,1403,543,2024-12-19,1403.0,Conditional Pass,Some spoilage detected
130,469,982,2024-08-31,469.0,Pending Review,Packaging integrity maintained
131,280,1254,2021-02-23,280.0,Conditional Pass,Color and appearance good
132,1647,1174,2024-06-21,1647.0,Failed,Color and appearance good
133,1863,341,2020-10-01,1863.0,Conditional Pass,Product quality meets standards
134,1564,950,2021-04-12,1564.0,Passed,Premium grade quality
135,702,88,2022-06-04,702.0,Failed,Freshness level acceptable
136,672,1869,2021-02-03,672.0,Failed,Requires further inspection
137,1383,1166,2023-06-03,1383.0,Rejected,Product quality meets standards
138,511,777,2024-03-07,511.0,Conditional Pass,Some spoilage detected
139,919,845,2020-06-06,919.0,Failed,Temperature control maintained
140,1380,61,2022-02-27,1380.0,Pending Review,Meets organic certification standards
141,711,911,2022-02-20,711.0,Pending Review,Temperature control maintained
142,666,1078,2021-07-26,666.0,Passed,Temperature control maintained
143,545,1338,2023-02-22,545.0,Pending Review,Below acceptable threshold
144,543,479,2024-03-16,543.0,Passed,Premium grade quality
145,590,391,2022-04-24,590.0,Rejected,Some spoilage detected
146,1796,83,2020-10-29,1796.0,Conditional Pass,Size and weight within specifications
147,862,396,2021-10-15,862.0,Pending Review,Freshness level acceptable
148,891,368,2024-04-21,891.0,Rejected,Excellent quality
149,1272,934,2022-03-07,1272.0,Pending Review,Excellent quality
150,1038,206,2024-12-29,1038.0,Rejected,Temperature control maintained
151,888,215,2021-01-06,888.0,Conditional Pass,Meets organic certification standards
152,901,630,2020-05-16,901.0,Passed,Excellent quality
153,1284,1576,2021-01-09,1284.0,Pending Review,Texture and firmness acceptable
154,1097,262,2022-04-15,1097.0,Conditional Pass,Standard grade quality
155,998,441,2020-07-21,998.0,Failed,Requires further inspection
156,657,621,2022-01-20,657.0,Passed,Packaging integrity maintained
157,229,112,2022-09-21,229.0,Passed,Minor defects detected
158,790,383,2022-08-09,790.0,Conditional Pass,Requires further inspection
159,1852,284,2024-10-24,1852.0,Pending Review,Minor defects detected
160,298,135,2024-03-14,298.0,Pending Review,Texture and firmness acceptable
161,1166,435,2023-09-20,1166.0,Rejected,Color and appearance good
162,468,1428,2021-04-08,468.0,Failed,Below acceptable threshold
163,773,1896,2022-11-27,773.0,Conditional Pass,Below acceptable threshold
164,796,503,2022-02-09,796.0,Conditional Pass,Standard grade quality
165,1030,135,2024-02-12,1030.0,Rejected,Size and weight within specifications
166,333,1881,2021-03-21,333.0,Pending Review,Texture and firmness acceptable
167,1659,99,2023-07-30,1659.0,Failed,Standard grade quality
168,278,1182,2020-03-24,278.0,Rejected,Size and weight within specifications
169,617,683,2020-11-28,617.0,Rejected,Color and appearance good
170,789,1045,2022-09-07,789.0,Rejected,Some spoilage detected
171,91,1591,2023-12-18,91.0,Rejected,Size and weight within specifications
172,1658,1991,2021-06-07,1658.0,Passed,Size and weight within specifications
173,1990,825,2023-06-17,1990.0,Conditional Pass,Color and appearance good
174,757,491,2021-03-31,757.0,Passed,Meets organic certification standards
175,444,790,2021-03-27,444.0,Pending Review,Packaging integrity maintained
176,415,1515,2023-08-01,415.0,Rejected,Some spoilage detected
177,652,894,2024-01-16,652.0,Failed,Color and appearance good
178,561,1455,2022-03-15,561.0,Pending Review,Premium grade quality
179,1597,1754,2021-04-04,1597.0,Pending Review,Texture and firmness acceptable
180,1866,924,2024-03-23,1866.0,Passed,Texture and firmness acceptable
181,786,1639,2024-09-19,786.0,Failed,Below acceptable threshold
182,755,647,2020-09-30,755.0,Rejected,Size and weight within specifications
183,1157,200,2023-11-21,1157.0,Failed,Premium grade quality
184,946,1111,2021-06-17,946.0,Conditional Pass,Texture and firmness acceptable
185,621,1045,2022-06-13,621.0,Conditional Pass,Freshness level acceptable
186,812,550,2024-06-22,812.0,Passed,Color and appearance good
187,898,1967,2022-08-30,898.0,Pending Review,Color and appearance good
188,1529,1130,2020-05-13,1529.0,Passed,Premium grade quality
189,1855,1415,2024-07-16,1855.0,Conditional Pass,Some spoilage detected
190,655,1392,2020-01-28,655.0,Failed,Minor defects detected
191,435,1574,2024-03-15,435.0,Rejected,Excellent quality
192,710,870,2021-05-18,710.0,Rejected,Freshness level acceptable
193,800,1778,2023-12-31,800.0,Passed,Size and weight within specifications
194,579,1626,2023-05-03,579.0,Failed,Size and weight within specifications
195,1031,1424,2020-08-30,1031.0,Passed,Some spoilage detected
196,1064,1807,2022-11-06,1064.0,Failed,Temperature control maintained
197,757,834,2022-11-22,757.0,Failed,Minor defects detected
198,428,762,2022-01-10,428.0,Pending Review,Some spoilage detected
199,1296,404,2023-05-08,1296.0,Failed,Freshness level acceptable
200,115,439,2023-09-30,115.0,Rejected,Standard grade quality
201,379,1855,2020-12-11,379.0,Pending Review,Meets organic certification standards
202,1537,1084,2021-02-08,1537.0,Failed,Texture and firmness acceptable
203,448,316,2021-10-01,448.0,Failed,Color and appearance good
204,1603,412,2021-09-04,1603.0,Conditional Pass,Standard grade quality
205,488,318,2023-10-11,488.0,Pending Review,Requires further inspection
206,1210,1305,2021-03-12,1210.0,Failed,Color and appearance good
207,1134,798,2020-09-22,1134.0,Failed,Excellent quality
208,360,1042,2021-09-12,360.0,Pending Review,Standard grade quality
209,406,1336,2023-10-07,406.0,Passed,Packaging integrity maintained
210,244,926,2020-04-17,244.0,Pending Review,Excellent quality
211,1984,1765,2024-06-25,1984.0,Rejected,Freshness level acceptable
212,1056,1068,2020-09-07,1056.0,Passed,Meets organic certification standards
213,806,733,2020-06-16,806.0,Passed,Texture and firmness acceptable
214,233,214,2024-04-27,233.0,Pending Review,Packaging integrity maintained
215,985,743,2022-03-22,985.0,Conditional Pass,Requires further inspection
216,1605,605,2024-12-15,1605.0,Conditional Pass,Color and appearance good
217,1474,329,2024-01-09,1474.0,Failed,Packaging integrity maintained
218,1590,597,2024-07-01,1590.0,Pending Review,Freshness level acceptable
219,539,1503,2021-11-09,539.0,Conditional Pass,Temperature control maintained
220,1998,282,2022-12-12,1998.0,Conditional Pass,Temperature control maintained
221,1110,588,2024-03-24,1110.0,Rejected,Standard grade quality
222,641,60,2020-02-07,641.0,Conditional Pass,Size and weight within specifications
223,1515,1430,2021-06-30,1515.0,Passed,Texture and firmness acceptable
224,528,1658,2021-05-11,528.0,Pending Review,Temperature control maintained
225,1097,499,2021-02-10,1097.0,Failed,Packaging integrity maintained
226,1884,999,2022-08-15,1884.0,Rejected,Standard grade quality
227,626,1944,2024-06-25,626.0,Conditional Pass,Minor defects detected
228,1096,421,2023-02-08,1096.0,Conditional Pass,Some spoilage detected
229,1627,79,2024-08-03,1627.0,Passed,Standard grade quality
230,1432,82,2024-06-19,1432.0,Passed,Temperature control maintained
231,1283,442,2021-06-29,1283.0,Passed,Meets organic certification standards
232,354,1084,2021-09-23,354.0,Failed,Size and weight within specifications
233,191,1143,2023-08-29,191.0,Pending Review,Requires further inspection
234,1430,1898,2021-01-18,1430.0,Pending Review,Some spoilage detected
235,948,310,2024-01-23,948.0,Conditional Pass,Product quality meets standards
236,371,1336,2022-01-21,371.0,Conditional Pass,Requires further inspection
237,1571,1463,2024-03-26,1571.0,Conditional Pass,Minor defects detected
238,1212,657,2023-05-21,1212.0,Conditional Pass,Some spoilage detected
239,1300,816,2023-12-10,1300.0,Conditional Pass,Standard grade quality
240,1000,1277,2022-01-22,1000.0,Failed,Packaging integrity maintained
241,1924,1253,2021-01-28,1924.0,Failed,Color and appearance good
242,1804,265,2023-04-09,1804.0,Passed,Product quality meets standards
243,1948,716,2021-04-27,1948.0,Rejected,Below acceptable threshold
244,1742,481,2023-10-03,1742.0,Failed,Texture and firmness acceptable
245,461,136,2020-02-25,461.0,Failed,Standard grade quality
246,1099,877,2024-02-27,1099.0,Failed,Temperature control maintained
247,1596,703,2021-08-08,1596.0,Conditional Pass,Texture and firmness acceptable
248,1515,1823,2022-05-27,1515.0,Passed,Premium grade quality
249,1414,5,2020-01-19,1414.0,Conditional Pass,Product quality meets standards
250,1421,1634,2023-08-03,1421.0,Failed,Standard grade quality
251,1444,1712,2024-12-10,1444.0,Conditional Pass,Standard grade quality
252,498,666,2024-08-23,498.0,Passed,Minor defects detected
253,138,1850,2024-12-14,138.0,Passed,Some spoilage detected
254,1594,1915,2020-03-01,1594.0,Pending Review,Packaging integrity maintained
255,392,1708,2020-03-12,392.0,Conditional Pass,Excellent quality
256,1934,679,2022-01-01,1934.0,Conditional Pass,Product quality meets standards
257,1080,1576,2023-11-20,1080.0,Pending Review,Premium grade quality
258,60,1273,2020-11-26,60.0,Rejected,Below acceptable threshold
259,1662,120,2021-08-25,1662.0,Rejected,Some spoilage detected
260,1043,1116,2022-11-13,1043.0,Failed,Size and weight within specifications
261,1680,82,2020-05-30,1680.0,Rejected,Below acceptable threshold
262,80,67,2020-07-22,80.0,Failed,Freshness level acceptable
263,857,611,2024-09-22,857.0,Passed,Below acceptable threshold
264,1610,1,2021-03-23,1610.0,Conditional Pass,Requires further inspection
265,417,1364,2020-11-01,417.0,Rejected,Meets organic certification standards
266,1216,736,2022-01-07,1216.0,Conditional Pass,Temperature control maintained
267,588,412,2020-07-12,588.0,Failed,Size and weight within specifications
268,826,437,2024-04-25,826.0,Pending Review,Texture and firmness acceptable
269,451,481,2021-02-16,451.0,Passed,Premium grade quality
270,1903,439,2020-06-18,1903.0,Rejected,Size and weight within specifications
271,1996,225,2022-07-03,1996.0,Rejected,Texture and firmness acceptable
272,181,327,2024-04-15,181.0,Rejected,Premium grade quality
273,758,188,2022-09-09,758.0,Pending Review,Texture and firmness acceptable
274,1651,1338,2021-03-05,1651.0,Conditional Pass,Minor defects detected
275,1439,1437,2021-05-31,1439.0,Pending Review,Below acceptable threshold
276,865,1838,2023-07-17,865.0,Rejected,Below acceptable threshold
277,916,1947,2021-06-29,916.0,Passed,Meets organic certification standards
278,1369,1792,2022-02-15,1369.0,Rejected,Below acceptable threshold
279,499,1263,2020-10-11,499.0,Failed,Meets organic certification standards
280,495,1807,2023-07-18,495.0,Rejected,Minor defects detected
281,1611,11,2021-03-18,1611.0,Rejected,Size and weight within specifications
282,1647,712,2023-02-27,1647.0,Conditional Pass,Below acceptable threshold
283,1792,1305,2024-02-25,1792.0,Passed,Standard grade quality
284,256,182,2023-03-27,256.0,Failed,Premium grade quality
285,1923,1581,2023-10-22,1923.0,Conditional Pass,Texture and firmness acceptable
286,1304,1656,2021-08-21,1304.0,Failed,Freshness level acceptable
287,1112,31,2023-11-26,1112.0,Conditional Pass,Freshness level acceptable
288,271,808,2020-08-19,271.0,Failed,Temperature control maintained
289,469,1314,2021-07-08,469.0,Failed,Premium grade quality
290,717,1881,2024-12-18,717.0,Failed,Color and appearance good
291,1957,133,2021-05-11,1957.0,Conditional Pass,Color and appearance good
292,283,215,2022-05-05,283.0,Conditional Pass,Freshness level acceptable
293,1548,509,2023-04-09,1548.0,Passed,Freshness level acceptable
294,446,1069,2022-07-06,446.0,Conditional Pass,Premium grade quality
295,1516,1413,2021-01-09,1516.0,Passed,Temperature control maintained
296,829,1232,2021-08-02,829.0,Pending Review,Minor defects detected
297,1007,917,2020-04-07,1007.0,Rejected,Below acceptable threshold
298,128,318,2023-06-29,128.0,Failed,Meets organic certification standards
299,246,1019,2022-11-20,246.0,Conditional Pass,Color and appearance good
300,544,425,2022-08-18,544.0,Rejected,Texture and firmness acceptable
301,1094,1214,2023-04-13,1094.0,Passed,Temperature control maintained
302,519,648,2024-04-26,519.0,Failed,Below acceptable threshold
303,1587,414,2024-11-07,1587.0,Conditional Pass,Product quality meets standards
304,1817,1137,2022-11-19,1817.0,Failed,Requires further inspection
305,299,97,2024-05-26,299.0,Rejected,Requires further inspection
306,1955,1449,2020-05-02,1955.0,Pending Review,Freshness level acceptable
307,1389,1512,2020-02-01,1389.0,Passed,Below acceptable threshold
308,552,379,2023-04-16,552.0,Pending Review,Some spoilage detected
309,976,528,2020-11-15,976.0,Conditional Pass,Size and weight within specifications
310,1986,1180,2021-01-09,1986.0,Failed,Freshness level acceptable
311,158,1304,2021-12-26,158.0,Rejected,Packaging integrity maintained
312,317,663,2024-06-15,317.0,Failed,Size and weight within specifications
313,958,408,2024-05-25,958.0,Conditional Pass,Minor defects detected
314,1299,1053,2024-06-11,1299.0,Passed,Some spoilage detected
315,1002,475,2021-04-16,1002.0,Conditional Pass,Temperature control maintained
316,1395,888,2023-06-20,1395.0,Conditional Pass,Minor defects detected
317,1969,631,2021-10-14,1969.0,Rejected,Product quality meets standards
318,1879,914,2021-02-17,1879.0,Failed,Packaging integrity maintained
319,1687,1372,2023-09-13,1687.0,Passed,Product quality meets standards
320,214,206,2021-04-19,214.0,Pending Review,Some spoilage detected
321,1435,546,2023-04-11,1435.0,Pending Review,Packaging integrity maintained
322,1294,525,2024-07-03,1294.0,Passed,Meets organic certification standards
323,1178,1226,2020-07-31,1178.0,Conditional Pass,Texture and firmness acceptable
324,158,499,2021-07-11,158.0,Failed,Requires further inspection
325,48,864,2020-12-06,48.0,Pending Review,Standard grade quality
326,1449,1842,2022-09-15,1449.0,Pending Review,Size and weight within specifications
327,367,714,2023-05-27,367.0,Passed,Freshness level acceptable
328,1249,1416,2022-03-07,1249.0,Rejected,Meets organic certification standards
329,1202,38,2020-08-28,1202.0,Passed,Requires further inspection
330,921,317,2024-10-14,921.0,Rejected,Freshness level acceptable
331,1937,782,2020-08-08,1937.0,Passed,Freshness level acceptable
332,664,1606,2024-01-11,664.0,Passed,Size and weight within specifications
333,1068,549,2020-10-14,1068.0,Failed,Requires further inspection
334,899,766,2024-01-06,899.0,Failed,Texture and firmness acceptable
335,786,777,2020-02-04,786.0,Conditional Pass,Packaging integrity maintained
336,471,1646,2020-05-29,471.0,Pending Review,Temperature control maintained
337,1596,1150,2024-04-12,1596.0,Rejected,Some spoilage detected
338,262,694,2023-07-16,262.0,Passed,Below acceptable threshold
339,231,1999,2020-10-23,231.0,Pending Review,Some spoilage detected
340,1708,152,2020-02-08,1708.0,Pending Review,Minor defects detected
341,1199,507,2021-03-07,1199.0,Conditional Pass,Meets organic certification standards
342,1746,504,2020-05-10,1746.0,Failed,Some spoilage detected
343,1049,397,2024-09-07,1049.0,Passed,Size and weight within specifications
344,1750,252,2020-12-19,1750.0,Conditional Pass,Some spoilage detected
345,52,927,2020-09-20,52.0,Failed,Premium grade quality
346,1243,1750,2024-09-25,1243.0,Pending Review,Meets organic certification standards
347,1602,1157,2020-12-07,1602.0,Rejected,Color and appearance good
348,479,358,2021-03-16,479.0,Pending Review,Premium grade quality
349,918,460,2021-10-08,918.0,Failed,Minor defects detected
350,708,17,2024-08-23,708.0,Pending Review,Excellent quality
351,304,1194,2020-05-07,304.0,Failed,Some spoilage detected
352,1823,1249,2022-12-04,1823.0,Pending Review,Meets organic certification standards
353,114,1670,2022-11-06,114.0,Passed,Size and weight within specifications
354,1097,1227,2024-11-13,1097.0,Failed,Some spoilage detected
355,1485,474,2023-11-23,1485.0,Pending Review,Standard grade quality
356,1249,704,2022-01-24,1249.0,Failed,Excellent quality
357,1169,993,2024-10-31,1169.0,Conditional Pass,Requires further inspection
358,560,881,2024-08-12,560.0,Rejected,Packaging integrity maintained
359,1887,1136,2021-09-16,1887.0,Passed,Excellent quality
360,428,76,2020-04-16,428.0,Pending Review,Product quality meets standards
361,265,1774,2022-01-06,265.0,Passed,Texture and firmness acceptable
362,315,1413,2020-12-16,315.0,Failed,Packaging integrity maintained
363,398,1095,2020-04-12,398.0,Failed,Meets organic certification standards
364,1313,703,2022-05-04,1313.0,Failed,Minor defects detected
365,1161,400,2023-12-25,1161.0,Conditional Pass,Some spoilage detected
366,1145,954,2021-12-03,1145.0,Failed,Minor defects detected
367,404,247,2023-06-24,404.0,Passed,Standard grade quality
368,1889,473,2022-10-24,1889.0,Failed,Product quality meets standards
369,1045,397,2020-08-11,1045.0,Failed,Meets organic certification standards
370,880,857,2023-03-23,880.0,Pending Review,Excellent quality
371,147,1448,2022-04-10,147.0,Pending Review,Color and appearance good
372,1964,1140,2020-01-18,1964.0,Conditional Pass,Excellent quality
373,1323,1896,2023-08-04,1323.0,Passed,Packaging integrity maintained
374,392,552,2024-03-08,392.0,Rejected,Temperature control maintained
375,1873,879,2021-08-28,1873.0,Passed,Minor defects detected
376,520,620,2020-10-22,520.0,Rejected,Excellent quality
377,452,1561,2022-08-27,452.0,Failed,Texture and firmness acceptable
378,1503,786,2020-03-29,1503.0,Passed,Freshness level acceptable
379,1875,1488,2022-07-25,1875.0,Failed,Requires further inspection
380,381,932,2022-04-09,381.0,Pending Review,Some spoilage detected
381,1181,1622,2020-12-01,1181.0,Failed,Some spoilage detected
382,91,445,2021-03-06,91.0,Rejected,Meets organic certification standards
383,1632,882,2022-05-05,1632.0,Conditional Pass,Temperature control maintained
384,1582,1322,2022-12-17,1582.0,Failed,Standard grade quality
385,1044,1108,2021-02-25,1044.0,Pending Review,Product quality meets standards
386,1344,952,2021-06-27,1344.0,Failed,Excellent quality
387,975,1968,2024-09-06,975.0,Rejected,Temperature control maintained
388,1702,8,2023-02-21,1702.0,Pending Review,Temperature control maintained
389,1552,1112,2021-11-01,1552.0,Rejected,Meets organic certification standards
390,49,1830,2023-08-25,49.0,Pending Review,Packaging integrity maintained
391,364,1237,2020-12-21,364.0,Failed,Product quality meets standards
392,1015,1439,2021-08-05,1015.0,Conditional Pass,Some spoilage detected
393,1394,1848,2020-05-15,1394.0,Pending Review,Some spoilage detected
394,1649,1547,2022-10-27,1649.0,Pending Review,Texture and firmness acceptable
395,1036,905,2020-12-11,1036.0,Failed,Freshness level acceptable
396,1431,1049,2021-03-28,1431.0,Passed,Freshness level acceptable
397,204,905,2023-07-20,204.0,Pending Review,Temperature control maintained
398,1446,1401,2021-08-25,1446.0,Conditional Pass,Minor defects detected
399,1904,1624,2023-08-14,1904.0,Conditional Pass,Below acceptable threshold
400,455,966,2023-05-07,455.0,Rejected,Excellent quality
401,1106,1112,2024-04-17,1106.0,Passed,Some spoilage detected
402,1686,1003,2024-11-03,1686.0,Rejected,Color and appearance good
403,385,32,2020-07-10,385.0,Conditional Pass,Size and weight within specifications
404,792,1745,2022-10-17,792.0,Failed,Some spoilage detected
405,67,7,2023-11-25,67.0,Failed,Packaging integrity maintained
406,797,1335,2024-08-06,797.0,Rejected,Some spoilage detected
407,305,300,2020-09-14,305.0,Pending Review,Color and appearance good
408,1527,336,2020-05-22,1527.0,Pending Review,Requires further inspection
409,1982,1447,2024-11-05,1982.0,Rejected,Meets organic certification standards
410,1766,1270,2024-09-05,1766.0,Rejected,Texture and firmness acceptable
411,953,731,2021-02-02,953.0,Rejected,Meets organic certification standards
412,808,188,2022-02-22,808.0,Failed,Color and appearance good
413,658,896,2023-10-23,658.0,Passed,Color and appearance good
414,471,196,2022-04-02,471.0,Passed,Requires further inspection
415,1571,1339,2023-01-12,1571.0,Passed,Size and weight within specifications
416,1561,1553,2021-08-22,1561.0,Rejected,Product quality meets standards
417,1594,137,2023-03-03,1594.0,Pending Review,Product quality meets standards
418,1009,81,2021-08-31,1009.0,Pending Review,Standard grade quality
419,1025,1000,2024-05-01,1025.0,Rejected,Below acceptable threshold
420,1379,1542,2023-03-16,1379.0,Conditional Pass,Freshness level acceptable
421,267,1381,2020-08-07,267.0,Rejected,Size and weight within specifications
422,17,1498,2024-10-20,17.0,Rejected,Product quality meets standards
